Call Id;VIP;Time of Day;Topic;Answered (Y/N);Resolved;Hold Time;Call Time;Satisfaction rating;missing values;Repeat Call
ID0001;0;Morning;Contract related;Y;Y;109;203;3;0;N
ID0002;0;Morning;Technical Support;Y;N;70;242;3;0;Y
ID0003;0;Morning;Contract related;Y;Y;10;131;3;0;N
ID0004;0;Morning;Contract related;Y;Y;53;97;2;0;N
ID0005;1;Morning;Payment related;Y;Y;95;120;3;0;Y
ID0006;0;Morning;Technical Support;N;N;-1;-1;-1;1;Y
ID0007;1;Morning;Payment related;Y;Y;24;220;2;0;N
ID0008;0;Morning;Payment related;Y;Y;22;98;4;0;Y
ID0009;0;Morning;Admin Support;Y;Y;15;398;4;0;Y
ID0010;0;Morning;Streaming;Y;Y;78;124;3;0;N
ID0011;0;Morning;Payment related;N;N;-1;-1;-1;1;Y
ID0012;1;Morning;Payment related;Y;Y;50;92;4;0;Y
ID0013;0;Morning;Payment related;Y;Y;84;214;3;0;Y
ID0014;1;Morning;Contract related;Y;Y;89;344;3;0;Y
ID0015;0;Morning;Admin Support;Y;Y;48;227;4;0;Y
ID0016;1;Morning;Admin Support;Y;Y;63;326;2;0;N
ID0017;0;Morning;Technical Support;Y;Y;45;332;5;0;N
ID0018;0;Morning;Admin Support;N;N;-1;-1;-1;1;Y
ID0019;1;Afternoon;Streaming;N;N;-1;-1;-1;1;Y
ID0020;0;Afternoon;Contract related;Y;Y;101;207;3;0;N
ID0021;1;Afternoon;Technical Support;Y;Y;74;322;5;0;N
ID0022;0;Afternoon;Admin Support;Y;Y;89;350;5;0;N
ID0023;0;Afternoon;Technical Support;N;N;-1;-1;-1;1;Y
ID0024;0;Afternoon;Technical Support;Y;Y;68;325;2;0;N
ID0025;1;Afternoon;Streaming;Y;Y;97;249;3;0;N
ID0026;0;Afternoon;Payment related;N;N;-1;-1;-1;1;Y
ID0027;1;Afternoon;Streaming;Y;Y;39;240;3;0;N
ID0028;0;Afternoon;Contract related;Y;Y;51;154;4;0;N
ID0029;0;Afternoon;Technical Support;Y;Y;106;189;4;0;N
ID0030;0;Afternoon;Streaming;Y;Y;107;355;3;0;N
ID0031;0;Afternoon;Admin Support;Y;Y;22;308;3;0;N
ID0032;0;Afternoon;Streaming;Y;Y;122;188;4;0;Y
ID0033;0;Afternoon;Technical Support;Y;Y;57;409;3;0;Y
ID0034;0;Afternoon;Payment related;Y;N;53;164;2;0;N
ID0035;1;Afternoon;Streaming;Y;Y;119;151;5;0;N
ID0036;0;Afternoon;Streaming;N;N;-1;-1;-1;1;Y
ID0037;0;Afternoon;Technical Support;Y;N;20;132;2;0;Y
ID0038;0;Afternoon;Technical Support;Y;Y;52;96;3;0;N
ID0039;0;Afternoon;Contract related;Y;Y;74;401;1;0;Y
ID0040;0;Afternoon;Technical Support;Y;Y;49;149;3;0;N
ID0041;0;Afternoon;Technical Support;Y;Y;27;129;5;0;N
ID0042;0;Afternoon;Contract related;Y;Y;100;294;5;0;Y
ID0043;1;Afternoon;Technical Support;Y;Y;45;381;3;0;N
ID0044;0;Afternoon;Payment related;Y;Y;98;194;5;0;N
ID0045;0;Afternoon;Admin Support;Y;Y;25;313;5;0;Y
ID0046;0;Afternoon;Contract related;N;N;-1;-1;-1;1;Y
ID0047;0;Evening;Admin Support;Y;Y;107;202;3;0;Y
ID0048;0;Evening;Contract related;N;N;-1;-1;-1;1;Y
ID0049;0;Evening;Technical Support;Y;Y;104;215;5;0;N
ID0050;0;Evening;Technical Support;N;N;-1;-1;-1;1;N
ID0051;0;Evening;Contract related;N;N;-1;-1;-1;1;Y
ID0052;1;Evening;Admin Support;N;N;-1;-1;-1;1;Y
ID0053;0;Evening;Payment related;Y;Y;13;75;5;0;Y
ID0054;1;Evening;Payment related;Y;Y;119;212;5;0;N
ID0055;1;Evening;Streaming;Y;Y;35;139;3;0;N
ID0056;1;Evening;Streaming;Y;Y;83;405;4;0;N
ID0057;0;Evening;Technical Support;Y;Y;48;172;2;0;N
ID0058;0;Evening;Admin Support;Y;Y;45;203;5;0;N
ID0059;0;Morning;Technical Support;Y;Y;65;360;5;0;N
ID0060;1;Morning;Contract related;Y;Y;50;266;3;0;N
ID0061;0;Morning;Streaming;Y;Y;17;375;3;0;N
ID0062;0;Morning;Technical Support;N;N;-1;-1;-1;1;Y
ID0063;0;Morning;Streaming;Y;Y;96;406;1;0;N
ID0064;0;Morning;Streaming;Y;Y;90;383;3;0;N
ID0065;1;Morning;Contract related;Y;Y;98;385;2;0;N
ID0066;0;Morning;Technical Support;Y;N;90;143;4;0;N
ID0067;0;Morning;Contract related;Y;Y;98;349;5;0;Y
ID0068;1;Morning;Contract related;Y;Y;70;192;5;0;N
ID0069;0;Morning;Contract related;Y;Y;69;285;4;0;N
ID0070;0;Morning;Admin Support;N;N;-1;-1;-1;1;Y
ID0071;0;Morning;Technical Support;Y;Y;120;191;4;0;N
ID0072;1;Morning;Admin Support;Y;Y;113;351;5;0;Y
ID0073;0;Morning;Payment related;Y;N;10;139;5;0;N
ID0074;0;Morning;Contract related;Y;Y;122;293;1;0;N
ID0075;0;Morning;Technical Support;Y;N;125;158;3;0;Y
ID0076;0;Morning;Admin Support;N;N;-1;-1;-1;1;Y
ID0077;1;Morning;Technical Support;Y;Y;33;398;2;0;N
ID0078;1;Morning;Contract related;Y;Y;51;382;2;0;Y
ID0079;0;Morning;Contract related;Y;Y;58;208;3;0;N
ID0080;1;Morning;Admin Support;Y;Y;121;287;5;0;Y
ID0081;1;Morning;Admin Support;Y;Y;118;186;4;0;Y
ID0082;0;Morning;Payment related;Y;Y;52;416;4;0;Y
ID0083;0;Afternoon;Admin Support;Y;Y;55;284;3;0;N
ID0084;0;Afternoon;Contract related;Y;Y;68;359;4;0;N
ID0085;0;Afternoon;Technical Support;Y;Y;106;262;5;0;N
ID0086;1;Afternoon;Technical Support;Y;Y;32;276;3;0;Y
ID0087;1;Afternoon;Payment related;N;N;-1;-1;-1;1;N
ID0088;0;Afternoon;Admin Support;Y;N;45;146;4;0;N
ID0089;1;Afternoon;Technical Support;Y;Y;119;212;4;0;N
ID0090;0;Afternoon;Streaming;N;N;-1;-1;-1;1;Y
ID0091;1;Afternoon;Contract related;Y;Y;46;341;1;0;N
ID0092;0;Afternoon;Technical Support;Y;Y;101;148;3;0;Y
ID0093;0;Afternoon;Technical Support;Y;Y;56;172;3;0;Y
ID0094;0;Afternoon;Technical Support;Y;Y;80;113;3;0;N
ID0095;0;Afternoon;Streaming;Y;Y;24;96;3;0;N
ID0096;1;Afternoon;Payment related;Y;Y;113;234;2;0;N
ID0097;0;Afternoon;Contract related;Y;Y;19;123;4;0;Y
ID0098;1;Afternoon;Streaming;N;N;-1;-1;-1;1;N
ID0099;1;Afternoon;Contract related;Y;Y;45;397;3;0;N
ID0100;0;Afternoon;Technical Support;Y;Y;95;311;1;0;N
ID0101;0;Afternoon;Technical Support;N;N;-1;-1;-1;1;Y
ID0102;0;Afternoon;Technical Support;Y;N;79;331;1;0;N
ID0103;0;Afternoon;Payment related;Y;Y;22;236;2;0;N
ID0104;1;Afternoon;Contract related;Y;Y;38;396;1;0;Y
ID0105;0;Afternoon;Technical Support;Y;Y;112;205;5;0;N
ID0106;0;Afternoon;Payment related;Y;Y;65;297;3;0;N
ID0107;0;Afternoon;Streaming;N;N;-1;-1;-1;1;Y
ID0108;0;Afternoon;Contract related;Y;N;55;152;1;0;Y
ID0109;0;Afternoon;Admin Support;N;N;-1;-1;-1;1;N
ID0110;0;Afternoon;Streaming;Y;Y;19;158;2;0;Y
ID0111;1;Afternoon;Technical Support;Y;Y;53;116;3;0;N
ID0112;0;Afternoon;Technical Support;Y;Y;24;366;5;0;N
ID0113;0;Afternoon;Streaming;Y;Y;73;361;3;0;N
ID0114;0;Afternoon;Technical Support;N;N;-1;-1;-1;1;Y
ID0115;0;Evening;Technical Support;Y;Y;55;347;5;0;N
ID0116;0;Evening;Payment related;N;N;-1;-1;-1;1;N
ID0117;1;Evening;Streaming;N;N;-1;-1;-1;1;N
ID0118;0;Evening;Streaming;Y;Y;23;318;4;0;N
ID0119;1;Morning;Payment related;Y;N;124;203;5;0;Y
ID0120;1;Morning;Contract related;N;N;-1;-1;-1;1;Y
ID0121;0;Morning;Technical Support;Y;Y;103;121;4;0;N
ID0122;1;Morning;Contract related;Y;Y;69;225;4;0;Y
ID0123;0;Morning;Streaming;Y;Y;78;132;3;0;Y
ID0124;0;Morning;Technical Support;Y;Y;78;206;5;0;N
ID0125;0;Morning;Technical Support;N;N;-1;-1;-1;1;Y
ID0126;0;Morning;Payment related;Y;Y;44;338;4;0;N
ID0127;0;Morning;Admin Support;Y;Y;35;166;4;0;N
ID0128;0;Morning;Admin Support;Y;Y;102;326;4;0;Y
ID0129;0;Morning;Contract related;Y;Y;99;351;3;0;N
ID0130;0;Morning;Admin Support;Y;Y;29;249;3;0;N
ID0131;0;Morning;Admin Support;Y;N;42;119;5;0;N
ID0132;0;Morning;Payment related;Y;Y;113;340;4;0;N
ID0133;0;Morning;Admin Support;Y;Y;124;113;2;0;Y
ID0134;0;Morning;Technical Support;N;N;-1;-1;-1;1;N
ID0135;0;Morning;Payment related;Y;Y;55;133;1;0;N
ID0136;1;Morning;Technical Support;Y;N;105;359;3;0;N
ID0137;0;Morning;Contract related;Y;N;112;192;5;0;N
ID0138;0;Morning;Contract related;N;N;-1;-1;-1;1;Y
ID0139;1;Morning;Technical Support;Y;Y;43;380;5;0;N
ID0140;0;Morning;Payment related;Y;Y;20;104;3;0;Y
ID0141;0;Morning;Technical Support;Y;Y;84;163;5;0;Y
ID0142;0;Morning;Contract related;Y;Y;20;164;4;0;N
ID0143;0;Morning;Streaming;Y;Y;101;196;3;0;Y
ID0144;0;Morning;Technical Support;Y;Y;31;175;5;0;N
ID0145;0;Morning;Contract related;Y;Y;56;249;5;0;Y
ID0146;1;Morning;Contract related;N;N;-1;-1;-1;1;Y
ID0147;0;Morning;Payment related;Y;Y;77;147;5;0;N
ID0148;0;Morning;Payment related;Y;Y;46;110;4;0;Y
ID0149;1;Morning;Admin Support;Y;Y;88;266;3;0;N
ID0150;0;Morning;Payment related;Y;Y;88;118;1;0;Y
ID0151;0;Afternoon;Technical Support;Y;Y;124;363;1;0;Y
ID0152;0;Afternoon;Contract related;N;N;-1;-1;-1;1;Y
ID0153;1;Afternoon;Payment related;Y;N;52;419;4;0;N
ID0154;1;Afternoon;Admin Support;Y;Y;67;370;5;0;N
ID0155;0;Afternoon;Payment related;Y;Y;119;256;3;0;N
ID0156;0;Afternoon;Admin Support;Y;Y;98;277;2;0;Y
ID0157;0;Afternoon;Technical Support;N;N;-1;-1;-1;1;N
ID0158;0;Afternoon;Technical Support;Y;Y;118;258;3;0;Y
ID0159;0;Afternoon;Admin Support;Y;Y;123;135;3;0;N
ID0160;1;Afternoon;Streaming;Y;N;86;337;1;0;N
ID0161;0;Afternoon;Admin Support;Y;Y;104;189;3;0;Y
ID0162;0;Afternoon;Payment related;Y;Y;69;153;2;0;N
ID0163;1;Afternoon;Contract related;Y;Y;113;218;1;0;Y
ID0164;1;Afternoon;Streaming;Y;Y;88;203;5;0;N
ID0165;0;Afternoon;Streaming;N;N;-1;-1;-1;1;Y
ID0166;0;Afternoon;Payment related;N;N;-1;-1;-1;1;N
ID0167;0;Afternoon;Payment related;Y;Y;84;118;2;0;Y
ID0168;0;Afternoon;Streaming;Y;Y;113;142;3;0;N
ID0169;0;Afternoon;Streaming;Y;Y;38;331;4;0;N
ID0170;0;Afternoon;Streaming;Y;Y;14;374;4;0;N
ID0171;0;Afternoon;Streaming;Y;N;25;332;4;0;N
ID0172;0;Afternoon;Contract related;N;N;-1;-1;-1;1;N
ID0173;0;Evening;Technical Support;N;N;-1;-1;-1;1;N
ID0174;1;Evening;Payment related;Y;Y;117;187;4;0;Y
ID0175;0;Evening;Payment related;Y;N;57;361;2;0;Y
ID0176;0;Evening;Technical Support;Y;Y;119;319;5;0;N
ID0177;0;Morning;Contract related;N;N;-1;-1;-1;1;Y
ID0178;0;Morning;Streaming;Y;Y;93;392;5;0;N
ID0179;0;Morning;Payment related;Y;Y;86;124;4;0;Y
ID0180;1;Morning;Streaming;N;N;-1;-1;-1;1;Y
ID0181;0;Morning;Contract related;Y;Y;92;179;3;0;N
ID0182;0;Morning;Streaming;N;N;-1;-1;-1;1;Y
ID0183;0;Morning;Technical Support;Y;Y;106;342;3;0;Y
ID0184;1;Morning;Technical Support;Y;Y;67;164;3;0;Y
ID0185;0;Morning;Streaming;Y;Y;90;257;3;0;Y
ID0186;1;Morning;Technical Support;N;N;-1;-1;-1;1;N
ID0187;0;Morning;Streaming;Y;N;50;229;4;0;N
ID0188;1;Morning;Admin Support;Y;N;89;256;3;0;Y
ID0189;0;Morning;Admin Support;Y;Y;74;378;3;0;N
ID0190;0;Morning;Payment related;Y;Y;63;142;2;0;N
ID0191;0;Morning;Contract related;Y;Y;45;391;5;0;N
ID0192;1;Morning;Technical Support;N;N;-1;-1;-1;1;Y
ID0193;0;Morning;Payment related;Y;Y;31;403;2;0;Y
ID0194;0;Morning;Streaming;N;N;-1;-1;-1;1;Y
ID0195;0;Morning;Contract related;Y;Y;43;224;5;0;Y
ID0196;1;Morning;Streaming;Y;Y;50;342;4;0;N
ID0197;0;Afternoon;Technical Support;Y;Y;48;312;4;0;Y
ID0198;1;Afternoon;Admin Support;Y;Y;113;224;5;0;N
ID0199;1;Afternoon;Streaming;N;N;-1;-1;-1;1;Y
ID0200;1;Afternoon;Technical Support;Y;Y;103;400;5;0;Y
ID0201;0;Afternoon;Technical Support;Y;N;95;267;3;0;Y
ID0202;1;Afternoon;Admin Support;Y;Y;30;304;1;0;N
ID0203;0;Afternoon;Admin Support;Y;Y;124;199;3;0;Y
ID0204;0;Afternoon;Admin Support;Y;Y;17;123;5;0;Y
ID0205;0;Afternoon;Streaming;Y;Y;113;360;3;0;N
ID0206;0;Afternoon;Technical Support;Y;Y;25;147;5;0;N
ID0207;0;Afternoon;Admin Support;Y;Y;52;262;5;0;Y
ID0208;0;Afternoon;Admin Support;Y;Y;28;164;5;0;Y
ID0209;0;Afternoon;Technical Support;Y;Y;69;185;3;0;Y
ID0210;0;Afternoon;Streaming;Y;Y;106;232;3;0;N
ID0211;0;Afternoon;Technical Support;N;N;-1;-1;-1;1;N
ID0212;0;Afternoon;Payment related;Y;Y;26;299;3;0;N
ID0213;0;Afternoon;Payment related;Y;Y;53;355;4;0;N
